,Zipcode,Average Housing Price
0,30101,427407.83
1,30102,366971.33
2,30103,266670.33
3,30005,696600.42
4,30009,648391.83
5,30318,395594.08
6,30331,309667.5
7,30315,287388.17
8,30311,330709.5
9,30324,712703.58
10,30310,363522.58
11,30305,1154168.33
12,30309,951724.0
13,30306,1033885.5
14,30312,580055.0
15,30327,1648590.64
16,30314,320176.58
17,30307,766139.5
18,30308,692864.91
19,30354,257599.25
20,30317,572913.92
21,30313,486685.0
26,30011,352748.08
27,30168,292886.75
28,30106,307315.75
29,30002,560739.83
30,30107,427936.83
31,30204,174438.33
32,30620,342385.75
33,30108,231914.08
34,30548,472680.08
35,30517,430554.33
36,30110,230193.42
37,30319,793613.83
38,30205,509834.0
39,30113,207146.17
40,30625,458388.58
41,30518,441076.0
42,30519,450842.83
43,30115,500563.0
44,30114,441482.83
45,30117,258474.58
46,30116,278825.5
47,30120,304316.33
48,30121,290972.5
49,30341,542023.33
50,30268,312889.75
51,30021,296722.75
52,30337,329473.83
54,30288,223585.0
55,30094,326436.17
56,30012,262842.33
57,30013,329898.5
58,30016,289029.58
59,30014,290320.33
60,30040,566332.33
61,30041,609561.5
62,30028,515937.0
63,30019,447325.0
64,30157,328939.33
66,30534,408562.67
67,30032,292484.17
68,30034,270145.5
69,30033,509105.92
70,30030,677672.25
71,30135,332700.08
72,30134,299357.42
73,30096,391942.92
74,30097,691045.17
75,30338,682926.92
76,30360,502822.08
78,30344,281530.25
79,30294,291668.08
80,30137,277922.42
82,30213,330458.75
83,30215,426609.08
84,30214,362852.42
85,30216,154354.75
86,30297,163261.83
87,30218,201829.83
88,30641,403892.83
89,30220,237306.67
90,30017,433146.17
91,30222,152968.92
94,30233,241608.17
95,30143,371490.33
96,30234,219832.5
97,30022,635442.0
98,30238,239369.67
99,30144,380291.67
100,30152,458349.17
101,30145,282088.08
102,30044,351671.25
103,30043,406638.08
104,30046,341761.75
105,30045,396622.17
106,30047,382215.58
107,30122,283064.5
108,30058,259218.08
109,30038,271050.42
110,30248,327061.75
111,30052,383239.17
112,30228,311646.92
113,30251,204739.33
114,30126,377075.5
115,30650,356226.75
116,31816,87283.58
117,30055,336442.17
118,30062,504463.5
119,30066,422499.0
120,30064,471435.58
121,30067,526282.42
122,30060,327228.42
123,30008,329664.08
124,30068,645127.08
125,30253,329335.0
126,30252,384529.25
127,30256,254093.92
128,30257,247416.58
129,30004,720015.33
130,30258,235618.67
131,30655,309595.42
132,31064,224373.08
133,30259,374048.42
134,30260,224616.33
135,30056,304210.83
136,30263,302789.92
137,30265,377242.33
138,30093,313482.67
139,30071,335339.08
140,30329,570412.25
141,30054,330772.08
142,30269,498766.67
143,30092,561396.67
144,30072,288981.0
145,30127,362932.33
146,30273,252070.25
147,30274,206843.33
148,30296,247505.92
149,30075,648565.92
150,30076,546224.67
151,30663,359955.58
152,30350,783429.08
153,30328,705491.17
154,30342,930713.75
155,30079,287901.83
156,30276,425332.75
157,31085,234534.92
158,30277,397984.42
159,30080,488913.92
160,30082,453819.25
161,30039,351829.92
162,30078,368801.5
163,30025,336166.67
164,30666,339068.67
165,30281,300977.58
166,30083,266238.5
167,30087,359148.92
168,30088,250403.75
169,30024,579770.58
170,30175,300868.5
171,30176,185919.17
172,30177,217132.75
173,30179,268682.42
174,30084,381598.08
175,30290,471788.08
176,30291,266901.58
177,30180,312937.33
178,30339,583799.58
179,30183,422631.42
180,31830,172067.58
181,30185,296625.58
182,30292,310333.92
183,30680,316801.17
184,30187,352254.75
185,30293,138556.92
186,30188,431603.75
187,30189,426835.25
188,30295,261206.08
189,30349,278126.5
190,30236,269514.25
191,30316,442251.5
192,30340,368561.17
193,30345,606436.08
194,30035,254836.92
195,30656,346804.25
196,30184,369683.83
197,30217,195491.67
198,30182,229584.67
199,30171,328923.42
200,30170,280582.75
