,Zipcode,City,State,Distance from Origin
0,30303,Atlanta,GA,0.0
1,30302,Atlanta,GA,0.25
2,30321,Atlanta,GA,0.25
3,30343,Atlanta,GA,0.25
4,30353,Atlanta,GA,0.25
5,30358,Atlanta,GA,0.25
6,30370,Atlanta,GA,0.25
7,30374,Atlanta,GA,0.25
8,30392,Atlanta,GA,0.25
9,30394,Atlanta,GA,0.25
10,30334,Atlanta,GA,0.27
11,31136,Atlanta,GA,0.51
12,30312,Atlanta,GA,0.73
13,30313,Atlanta,GA,1.12
14,30308,Atlanta,GA,1.53
15,30332,Atlanta,GA,1.73
16,30314,Atlanta,GA,2.12
17,30310,Atlanta,GA,2.61
18,30363,Atlanta,GA,2.73
19,30306,Atlanta,GA,3.16
20,30309,Atlanta,GA,3.17
21,30307,Atlanta,GA,3.24
22,30315,Atlanta,GA,3.31
23,30316,Atlanta,GA,3.81
24,30318,Atlanta,GA,4.01
25,30317,Atlanta,GA,4.13
26,30330,Atlanta,,4.28
27,30322,Atlanta,GA,4.71
28,30324,Atlanta,GA,5.09
29,30311,Atlanta,GA,5.1
30,30344,Atlanta,GA,5.39
31,30305,Atlanta,GA,5.5
32,30030,Decatur,GA,5.52
33,30031,Decatur,GA,5.53
34,30036,Decatur,GA,5.53
35,30037,Decatur,GA,5.53
36,30354,Atlanta,GA,5.87
37,30329,Atlanta,GA,6.25
38,30326,Atlanta,GA,6.84
39,30320,Atlanta,GA,6.91
40,30304,Atlanta,GA,7.01
41,30032,Decatur,GA,7.26
42,30033,Decatur,GA,7.4
43,30002,Avondale Estates,GA,7.48
44,30327,Atlanta,GA,7.82
45,30331,Atlanta,GA,7.85
46,30079,Scottdale,GA,8.0
47,30301,Atlanta,GA,8.02
48,30325,Atlanta,GA,8.02
49,30348,Atlanta,GA,8.02
50,30355,Atlanta,GA,8.02
51,30357,Atlanta,GA,8.02
52,30361,Atlanta,GA,8.02
53,30364,Atlanta,GA,8.02
54,30368,Atlanta,GA,8.02
55,30369,Atlanta,GA,8.02
56,30371,Atlanta,GA,8.02
57,30375,Atlanta,GA,8.02
58,30377,Atlanta,GA,8.02
59,30378,Atlanta,GA,8.02
60,30380,Atlanta,GA,8.02
61,30384,Atlanta,GA,8.02
62,30385,Atlanta,GA,8.02
63,30388,Atlanta,GA,8.02
64,30396,Atlanta,GA,8.02
65,30398,Atlanta,GA,8.02
66,31106,Atlanta,GA,8.02
67,31107,Atlanta,GA,8.02
68,31126,Atlanta,GA,8.02
69,31131,Atlanta,GA,8.02
70,31139,Atlanta,GA,8.02
71,31150,Atlanta,GA,8.02
72,31156,Atlanta,GA,8.02
73,31192,Atlanta,GA,8.02
74,31193,Atlanta,GA,8.02
75,31195,Atlanta,GA,8.02
76,31196,Atlanta,GA,8.02
77,30288,Conley,GA,8.52
78,30319,Atlanta,GA,8.6
79,30337,Atlanta,GA,8.66
80,30034,Decatur,GA,8.96
81,30345,Atlanta,GA,8.99
82,30342,Atlanta,GA,9.13
83,30339,Atlanta,GA,9.25
