zipcode,crime/100kpop
30032,0.008033031826872098
30303,64.29006703229739
30305,12.203389830508474
30306,23.532615037535493
30307,18.183215099751582
30308,89.17486752460258
30309,24.074537268634316
30310,22.993707753624246
30311,10.496874716912764
30312,31.484506308737544
30313,19.605572922696926
30314,17.529656676469617
30315,19.7006064400923
30316,11.611845600400722
30317,23.358307624504185
30318,38.12576551220911
30319,0.7616650660661655
30324,59.099032476736305
30326,79.92249939452653
30327,3.135763121369455
30331,7.837402537889764
30336,2.2018348623853212
30342,1.6202879693618275
30344,0.11375108419002118
30354,13.466958972752897
30361,
30363,38.43416370106762
30380,
31126,
